水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
17.3,6.99,9.43,0.2,0.7,1.61,0.081,0.076,2.18
9.6,8.01,9.63,427.1,338,4.99,0.33,0.178,3.11
11.2,7.89,10.24,363.6,57.1,1.61,0.025,0.073,1.51
7.8,8.67,14.08,368.5,14.4,3.87,0.025,0.1,1.58
6,8.56,11.11,369,3.3,2.2,0.032,0.026,0.62
6.5,7.72,7.15,451.3,4,2.59,0.047,0.025,0.78
8.1,8.07,11.64,441.1,193.6,3.37,0.109,0.179,2.09
6.6,8.48,14.24,757.1,83.5,4.56,0.119,0.117,2.74
9.7,7.86,8.96,401.8,31.9,1.73,0.048,0.078,2.61
8,7.89,10.61,524.7,26,2.55,0.265,0.07,2.34
6.2,8.56,19.88,626.2,31,7.31,0.52,0.198,3.03
8,7.87,8.94,538.1,115,4.11,0.787,0.202,3.19
8.4,8.03,9.83,664.6,45.5,2.59,0.147,0.144,2.06
25.4,8.17,5.46,865.7,39.4,4.3,0.064,0.054,1.82
4.2,8.52,14.31,726.5,37.4,3.74,0.025,0.035,1
4.1,8.45,13.56,784.1,18.4,3.31,0.025,0.032,0.56
4.2,8.54,12.94,589.7,4.3,2.88,0.107,0.048,1.95
3.2,8.38,12.97,674.1,3.6,3.25,0.025,0.012,0.82
5,8.42,12.68,544,52.5,2.53,0.114,0.08,1.94
6,8.96,14.06,830.3,12.1,5.5,0.036,0.054,1.5
5.5,8.6,13.63,830.2,15,4,0.025,0.038,1.61
5.7,8.58,13.03,734.6,26.7,3.77,0.025,0.04,0.76
6,8.37,11.91,712.3,7.6,3.99,0.025,0.036,1.46
4.8,8.52,16.67,914.7,1.3,4.06,0.025,0.021,2.86
13.2,7.49,8.24,127.1,4.2,0.56,0.037,0.007,0.76
11.1,7.6,9.56,391.2,8.6,1.1,0.156,0.038,2.21
13.2,7.48,8.79,121.3,1.4,0.64,0.025,0.005,0.79
13.5,7.62,8.69,81.7,1.8,1.44,0.025,0.005,0.82
11.5,7.79,8.29,459.6,7.2,3,0.287,0.064,2.37
7.8,7.65,10.47,333,9.4,2.59,0.077,0.029,2.33
9.1,7.86,10.96,537.5,11.5,2.97,0.329,0.068,3
8.8,7.98,11.46,235.6,6.5,1.5,0.025,0.033,1.81
11.8,7.53,8.3,141.5,7.2,1.06,0.025,0.01,1.16
8,8.3,12.52,565.5,42.9,2.8,0.052,0.098,3.81
9.3,7.98,9.42,633,63.8,2.79,0.67,0.12,3.2
9.7,7.9,9.06,297.7,19,1.44,0.224,0.073,2.99
12.9,7.5,8.06,210.4,20.6,0.77,0.025,0.013,0.94
8.7,7.2,11.26,112.2,6,0.25,0.027,0.007,2.43
7.4,8.34,12.25,340.7,11.8,3.4,0.2,0.066,4.41
30.1,8.74,6.42,541.8,21.3,2.22,0.035,0.025,2.43
8,7.79,14.03,429.7,7.8,1.57,0.158,0.096,2.38
8.5,7.04,10.08,91.4,7.8,1.89,0.026,0.019,0.92
9.3,8.49,13.02,140.2,5.9,1.08,0.033,0.017,2.4
7,6.89,12.67,226.3,23.2,2.97,0.222,0.118,3.99
9.1,7.35,13.66,87.1,5.3,0.75,0.027,0.036,2.2
7.5,9.28,15.98,5558.5,36.7,6.44,0.033,0.056,1.05
12.1,6.71,10.9,57.7,2.3,0.25,0.044,0.013,0.95
12.1,7.35,9.66,141.3,52.8,1.02,0.025,0.03,1.31
11.6,8.44,10.48,21295.8,1299.3,4.06,0.079,0.02,2.24
10.7,8.38,14.5,150.4,14.1,1.79,0.025,0.02,2.01
11.1,8.47,13.18,960.9,20.7,4.2,0.443,0.108,5.12
11.3,8.41,9.02,2856.4,1745.3,1.18,0.125,0.089,2.5
13.6,7.29,8.6,24541,1156,4.02,0.08,0.05,3.54
10.3,7.83,10.51,33950,4993,3.57,0.242,0.041,2.59
8.3,8.43,10.63,638.8,52.2,3.62,0.281,0.073,2.82
8.1,8.64,14.49,388.8,12.9,3.09,0.025,0.051,0.73
6.3,7.86,9.59,567.9,101.3,3.46,0.193,0.057,2.42
7,7.58,9.57,863.8,45.1,2.81,0.335,0.079,4.17
7.2,7.94,10.28,1653.7,46.9,2.9,0.286,0.083,4.26
8.5,7.67,10.06,850.2,95.8,2.85,0.485,0.09,3.45
7.5,8.05,11.57,916.7,14,5.57,1.076,0.151,5.44
8.9,7.67,7.45,735,26.7,3.06,0.584,0.08,3.65
7.6,8.04,8.72,1096.3,51.2,4.38,0.45,0.127,3.41
7.3,7.88,10.83,753.1,18.3,3.9,0.214,0.071,3.12
6.7,7.78,11.07,736.1,78,4,0.426,0.061,3.89
6.6,7.46,10.51,628.5,73.9,4.26,0.396,0.098,3.93
6.3,7.51,8.64,679.1,64.5,4.01,0.569,0.108,3.92
7.2,7.57,9.01,813.6,52.5,3.26,0.379,0.097,4.97
6.6,7.89,10.65,943.6,40.5,3.36,0.326,0.099,4.34
8.6,7.86,8.26,511.2,77.8,2.96,0.114,0.08,2.3
6.6,7.87,12.93,408.5,60.6,2.01,0.045,0.005,1.06
5,7.62,10.3,513.6,60.8,2.7,0.025,0.049,2.32
6.6,7.71,9.39,490.7,92.1,3,0.226,0.076,1.41
8.5,7.86,9.61,454.9,16,2.41,0.075,0.054,2.82
6.8,7.49,10.28,399.3,89.3,2.87,0.377,0.058,3.37
5.7,7.87,12.87,427.3,49.7,2.32,0.033,0.042,0.72
8.6,7.37,10.28,189.4,5.1,1.35,0.049,0.027,2.04
8.6,7.5,10.64,323.8,13.1,1.93,0.144,0.04,3.27
8.3,7.59,10.43,339.9,23.6,2.25,0.179,0.025,3.92
5.9,7.76,12.97,413.2,64.3,2.55,0.05,0.038,1.15
6.4,8.01,9.59,479.9,124.4,3.83,0.391,0.042,2.35
7.8,7.52,8.93,549.1,22.1,4.56,0.633,0.048,3.94
7.3,7.51,9.38,541.2,39.6,4.5,0.529,0.04,3.49
7.1,8.11,11.84,436.8,6.5,2.8,0.057,0.012,2.7
7.8,7.59,11.73,175.4,17.4,1.8,0.239,0.063,3.04
8.6,7.25,8.59,515,23,3.82,0.449,0.082,4.44
7.8,7.41,10.22,238.5,3.9,3.57,0.06,0.032,2.36
10.7,6.98,9.71,59.3,6.2,1.83,0.138,0.021,1.07
8.4,7.5,11.22,228.2,9.5,1.76,0.12,0.044,3.36
9.5,7.79,8.58,536.9,6.6,3.4,0.69,0.121,5.98
8.7,7.18,8.01,666.5,5.2,4.21,1.006,0.134,6.16
9.1,8.4,11.84,765.9,6.8,4.02,0.72,0.097,6.44
8.7,7.81,10.91,677,18,3.16,0.132,0.117,6.59
8.5,8.04,10.74,300.7,7.7,2.29,0.095,0.064,2.92
7.8,7.57,10.6,861.2,16.1,4.37,0.862,0.05,6.48
8.8,7.62,9.02,867.8,5.5,5.15,0.213,0.087,4.83
8.6,7.68,10.17,255.1,3.5,2.12,0.075,0.042,6.7
9,8.05,10.41,530.3,4.1,3.42,0.24,0.124,5.89
7.5,7.34,9.1,289,6.1,3.65,0.777,0.159,6.58
8.9,7.69,10.5,478.5,9.7,2.1,0.1,0.076,3.98
8.7,7.6,10.85,275.4,23.9,1.83,0.214,0.033,2.44
9.5,8.02,12.3,287.9,7.9,1.62,0.025,0.028,2.21
7.4,7.85,12.2,242.4,6,1.32,0.125,0.052,2.61
9.2,7.53,11.53,263.4,4.9,2.58,0.094,0.049,2.24
9.5,6.71,10.04,105.7,5.8,0.98,0.037,0.016,1.58
9.8,8.32,12.82,304,4.3,0.57,0.025,0.012,1.92
9.2,7.22,10.57,381.2,9,2.44,0.226,0.048,3.23
10.5,6.79,10.2,43.6,18.6,0.87,0.034,0.037,0.86
10,7.69,10.74,85.6,3.4,0.89,0.025,0.009,0.83
8.5,9.09,22.44,786,10.3,4.4,0.025,0.08,2.76
11.1,7.1,9.28,57.5,9.1,0.81,0.041,0.01,0.35
9.2,7.75,10.37,25255.4,1437.6,3.9,0.142,0.086,2.44
10.3,8.59,10.02,2908.3,2.8,6.62,0.615,0.108,6.02
11.3,7.13,8.36,79.4,1.7,1.43,0.035,0.01,0.67
13.4,7.79,9.22,1161.5,7.9,3.82,0.519,0.095,4.64
9.8,8.57,12.67,867.3,6.5,3.66,0.297,0.057,2.74
9.5,7.19,9.31,207.6,5.3,2.52,0.137,0.043,2.51
10.6,7.31,10.51,157.3,5.1,1.21,0.044,0.026,1.87
10.7,7.02,9.77,61,3.4,0.97,0.025,0.016,0.71
11,7.04,10.28,98.2,8.4,1.27,0.142,0.048,1.39
9.7,7.28,9.65,80.9,1.9,1.14,0.147,0.026,1.02
11.7,7.39,8.63,681.1,7,1.86,0.596,0.032,4.47
10.3,7.32,11.14,274.9,12.9,1.42,0.025,0.044,3.94
12.9,7.4,10.12,41.2,3.1,0.46,0.025,0.006,0.25
14.4,7.35,9.36,45.1,0.6,1.6,0.089,0.008,0.38
12.6,6.93,9.4,54.2,7.6,0.69,0.092,0.011,0.39
10.2,7.19,10.84,69.3,7.3,1.17,0.107,0.022,1.1
28,6.13,0.23,409.6,3.5,6.26,0.27,0.051,0.61
33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
7.6,7.65,9.16,514.6,17.5,3.39,0.166,0.041,2.37
5.8,8.15,12.6,475.2,36.9,3.62,0.028,0.064,1.66
8.7,7.17,8.83,789.9,63.2,3.33,0.614,0.085,6.15
6.3,8.13,13.84,388.2,2.9,4.35,0.107,0.043,3.26
9,7.23,8.73,479.5,22.3,9.41,0.142,0.078,5.95
7.2,7.39,10.63,299.6,50.2,4.19,0.271,0.08,2.4
6.7,8.65,11.99,431.9,20.4,2.72,0.214,0.048,1.05
5.1,8.25,11.45,335.1,40,3.78,0.025,0.055,2.23
5.4,8,14.31,443.6,21.3,2.67,0.025,0.042,1.22
7.3,8.13,11.99,304,5.9,4.3,0.151,0.06,3.01
6.6,7.96,11.76,233,14.8,3.11,0.156,0.022,2.63
8.6,8.13,9.96,795.7,43.4,3.9,0.398,0.142,6.68
6.5,7.13,10.07,67.3,12.7,1.99,0.025,0.015,0.76
5.5,8.3,11.7,422.9,43.3,3.82,0.025,0.04,1.1
5.9,8.61,13.98,548.3,17.8,4.78,0.025,0.058,3.1
5.1,8.29,14.4,398.6,24.4,2.65,0.032,0.051,1.14
5.4,8.37,13.19,398,25.2,3.61,0.026,0.048,0.5
5.4,8.25,12.95,405,23.4,3.5,0.025,0.046,1.63
5.1,8.42,13.55,427.9,57.5,3.25,0.025,0.055,1.63
7,8.52,12.94,574.1,16.4,3.76,0.248,0.045,2.1
6.6,7.98,11.93,426.5,18.4,3.89,0.377,0.075,1.87
10.2,7.87,9.13,339.9,43.4,1.43,0.132,0.085,1.88
7.4,8.07,12.04,273.8,14.7,3.4,0.187,0.047,2.1
8.9,7.47,9.98,413,110.7,3.2,0.329,0.092,2.08
7.5,7.5,10.89,588.5,18.4,2.62,0.081,0.043,2.65
8.2,7.78,11.27,527.3,28.3,2.09,0.075,0.047,4
8.1,7.76,12.57,655.3,11.2,3.17,0.044,0.082,2.19
8.7,8.32,11.53,771.2,4.2,3.31,0.025,0.02,0.49
5.2,7.89,10.92,801.4,8.9,4.47,0.038,0.05,1.21
5.6,8.11,10.97,1627,17.7,4.31,0.154,0.087,2.41
7.6,8.25,11.71,702.2,17.8,3.05,0.046,0.072,1.91
8.3,8.32,9.19,1655.4,6.1,4.79,0.078,0.058,2.33
7.4,8.15,11.28,655.1,7.4,2.74,0.103,0.068,3.03
7,8.24,12.92,553.9,15.1,2.64,0.038,0.041,2.53
5.8,8.3,10.19,926.6,5.2,3.5,0.025,0.028,1.24
5.2,8.44,12.96,426.5,4.3,3.38,0.027,0.032,0.74
8.4,8.1,11.29,712.1,4.6,2.17,0.025,0.045,2.38
5,8.21,9.64,766.6,5.6,4.58,0.088,0.022,0.73
7.4,7.73,13.02,354.1,25.7,2.48,0.069,0.016,2.76
6.9,8.13,11.98,603.3,5.9,2.88,0.06,0.023,1.39
5.6,8.03,13.21,635.6,10.2,4.95,0.64,0.076,5.3
10.8,7.91,10.48,295.3,35.9,1.53,0.1,0.083,2.61
7.7,8.82,16.8,895.8,11.2,3.31,0.275,0.099,3
7.4,8.78,17.21,682.5,28.1,6.08,0.13,0.079,4.02
6.6,7.62,11.96,363.3,25.4,3.34,0.351,0.072,3.73
5.1,8.22,11.59,2031.3,5.4,4.37,0.078,0.051,1.78
6.4,8,9.57,1049.4,5.1,4.91,0.152,0.038,1.11
4.6,8.88,14.43,1525.4,2,3.73,0.029,0.023,0.4
9.6,7.22,11,513.7,15.1,2.14,0.11,0.082,2.04
11.3,7.97,10.83,364.7,21.3,1.25,0.106,0.095,1.74
6.5,8.16,12.23,247.4,8.2,3.72,0.025,0.027,0.65
9.4,8.21,11.66,369.1,16.2,2.84,0.036,0.056,1.71
6.4,8.13,12.04,283.6,84.8,5.03,0.025,0.066,1.11
6.9,7.37,11.4,166.6,18.6,2.82,0.025,0.016,0.45
9.9,7.88,10.85,379.8,29.3,1.96,0.091,0.083,1.72
12.5,6.78,8.51,91.3,1.2,1.36,0.025,0.01,0.33
7.6,7.81,11.21,243.3,16.5,2.65,0.025,0.02,0.73
5.8,8.28,12.69,303.7,199.3,5.31,0.025,0.087,0.38
10.1,7.71,12.88,154.6,5.7,0.36,0.025,0.015,1
6.5,7.33,13.06,222.6,145.1,3.34,0.064,0.032,1.07
8.5,6.98,11.14,217.6,3.3,1.28,0.084,0.015,1.79
7.9,7.49,9.24,280.8,4.1,1.79,0.163,0.079,2.99
7.9,7.5,12.2,118.7,2.4,0.7,0.029,0.026,1.97
8.2,7.76,14.68,461.7,1.2,3.16,0.029,0.03,2.63
11.1,7.56,9.58,100.9,1.7,1.32,0.025,0.006,0.37
7.9,8.57,13.92,419.3,5.5,4.21,0.025,0.05,2.62
7.5,8.14,10.14,1094.7,39.2,5.83,0.454,0.114,7.77
6.2,8.39,11.99,639,12.3,4.44,0.106,0.051,3.9
6.3,8.24,11.83,699.9,7.4,3.56,0.095,0.081,2.39
5.9,8.54,13.08,1180.5,16.6,6.97,0.222,0.09,5.68
8,7.47,10.68,1007.3,38.3,4.71,0.65,0.084,9.77
7.8,8.1,11.3,501,14.1,4.42,0.198,0.097,1.93
6.2,7.89,9.78,488.5,25.5,2.44,0.133,0.068,3.11
7.1,8.03,10.59,1012.6,5.3,3.43,0.261,0.103,6.21
6.9,8.2,11.45,949.6,5.6,3.07,0.289,0.095,5.25
6.2,8.71,21.47,2575.8,9.3,6.29,0.158,0.138,10.15
7.3,8.01,10.37,389.5,7.6,1.99,0.089,0.035,2.29
6.3,8.1,11.4,1033.3,2.1,3.47,0.371,0.074,6.77
6.6,8.38,13.14,592.9,6.9,4.88,0.025,0.044,1.03
8.4,7.97,9.95,1026.3,2,2.92,0.218,0.074,5.88
5.8,8.24,10.68,1806.9,10.1,2.62,0.139,0.043,3.12
6.5,8.18,10.34,1252.5,4.6,3.31,0.049,0.041,3.61
5.7,8.07,9.96,1166.7,9.3,4.67,0.161,0.044,1.14
5.9,7.91,12.46,1022.6,2.8,5.05,0.076,0.035,1.12
6.6,7.16,12.36,155.7,2.4,1.67,0.025,0.013,2.11
7.5,8.52,13.81,198.3,16,3.2,0.025,0.005,1.69
7,8.07,13.3,246,33.7,2.6,0.025,0.033,0.65
7.9,7.53,11.81,346,1.8,2.07,0.205,0.024,3.29
9.4,6.9,9.28,89.3,1,1.87,0.066,0.005,0.73
5.1,9.2,15.29,155.4,1.8,2.36,0.025,0.032,1.31
6.9,7.14,15.07,265.7,2.3,1.12,0.051,0.022,3.01
8,7.99,10.85,1291.7,18.4,4.17,0.059,0.052,2.36
6,8.2,9.17,1373,9.1,3.6,0.212,0.05,2.71
5.7,8.05,12.23,1803,9.2,4.22,0.525,0.121,6.74
6.2,8.19,10.51,1392.9,8.5,3.97,0.175,0.069,4
6.4,8.11,9.57,861.5,4.1,5.45,0.053,0.032,0.8
10.1,7.78,9.3,362.4,3.5,0.92,0.025,0.023,1.78
10.8,7.91,10.24,375.4,26.9,1.29,0.103,0.08,1.9
11,7.64,10.56,237.9,4.2,0.66,0.025,0.012,0.73
6.6,7.17,11.07,308.8,95,3.49,0.384,0.074,2.49
6.9,7.89,11.51,279.4,27,0.97,0.13,0.026,1.96
8,8.22,12.1,204.5,1.1,1,0.025,0.006,1.32
8.4,7.81,10.48,255.1,47.6,2.67,0.041,0.044,2.52
6.5,7.29,8.97,219.6,18.4,3,0.102,0.032,1.37
9.2,7.78,10.06,280.3,66.5,3.25,0.306,0.078,3.03
8.4,7.05,9.96,147.8,18.3,1.26,0.025,0.028,1.11
8.2,7.51,10.99,188.4,10.1,1.33,0.137,0.072,1.62
10.1,7.33,7.74,672,22.1,5.31,1.038,0.082,6.71
8.2,5.87,9.42,479.2,1,0.68,0.025,0.013,0.89
7.4,7.26,11.92,293.7,5.5,1.35,0.025,0.031,2.72
15.5,6.49,8.71,115.9,8.7,1.7,0.025,0.069,2.13
14.7,7.53,7.95,4444.2,166.8,3.12,0.226,0.168,3.08
14.3,7.78,9.02,9842.8,111,2.84,0.243,0.085,2.62
13.7,7.34,10.68,121.8,212.9,3.56,0.333,0.269,3.44
14.2,7.26,8.86,55.9,3,1.51,0.025,0.013,0.85
16.4,6.77,6.53,128.3,4.1,1.72,0.025,0.061,2.25
18.4,6.89,7.95,208.3,9.2,0.4,0.025,0.055,0.68
14.6,7.36,8.88,295.6,2.9,1.68,0.069,0.157,5.36
13.3,8.22,9.54,14243.3,5.4,1.77,0.188,0.065,1.97
13.1,6.73,9.68,79.2,12.3,0.94,0.131,0.024,0.98
10,7.36,10.66,112.6,2.9,1.43,0.247,0.071,1.68
14.5,6.78,9.97,129.8,3.1,0.88,0.044,0.027,1.34
13.6,6.95,7.42,222.3,1,1.49,0.275,0.037,2.52
7.8,7.06,12.32,94.2,1.6,0.84,0.035,0.031,1.7
17.6,6.96,7.63,118.5,3.5,0.9,0.087,0.012,0.79
13.1,6.82,5.98,116.9,3.5,2.58,0.313,0.061,1.96
16.5,7.16,8.87,199,2.3,1.25,0.114,0.099,2.78
18.5,6.92,6,167.5,2.3,1.38,0.025,0.018,1.93
16.2,6.64,6.39,177.8,22.7,1.91,0.623,0.102,4.94
16.3,7.01,6.12,163.8,3.2,1.64,0.281,0.13,4.18
15.8,7.03,8.77,204.4,26.9,1.19,0.117,0.051,1.77
16.9,6.6,4.31,328.2,10.4,1.03,0.183,0.142,14.78
16.3,7.27,8.66,195.7,72,1.6,0.081,0.081,1.82
18.4,6.55,5.75,422.3,13,3.79,0.059,0.091,4.33
16.3,7.44,6.03,2995.8,171.9,4.04,0.415,0.126,4.94
17.5,7.38,6.79,273.1,7.5,3.15,0.146,0.094,4.22
18.4,6.68,8.71,1187.6,8.4,1.92,0.052,0.09,4.66
13.8,7.07,6.95,362,12,2.5,0.328,0.103,2.69
13,6.81,8.6,141.8,10.2,1.4,0.209,0.09,2.18
11.2,6.93,10.55,150.4,11.4,1.17,0.12,0.106,2.07
12.6,7.09,9.13,78.3,15.5,0.96,0.025,0.052,1.21
11.8,6.55,10.04,75.2,25,1.06,0.254,0.049,1.52
13.3,7.02,8.64,127,10.9,1.43,0.308,0.037,1.66
13.8,6.84,8.83,79.8,7.8,1.46,0.026,0.03,0.86
11.6,6.8,10.59,128.7,8.1,1.87,0.128,0.056,1.68
12.1,7.3,9.27,116.3,6.1,2.42,0.176,0.057,1.84
10.6,7.41,8.81,126.5,8.6,1.58,0.026,0.03,1.47
11.6,7.36,11.32,244.8,11.4,1.76,0.025,0.074,2.34
13.1,7.75,11.5,172.3,5.8,2.21,0.025,0.062,1.38
14.2,7.09,8.72,2777.9,145.1,2.88,0.268,0.146,2.53
14.6,6.58,8.7,1445.2,3.7,0.53,0.769,0.034,1.49
12.6,7.46,10.79,62,7.4,1,0.025,0.051,1.63
16.6,7.13,8.37,146.8,12.1,2.26,0.045,0.069,2.05
13.7,6.37,9.69,45.3,13.3,1.03,0.052,0.086,1.29
9.3,7.14,11.37,119.4,40.8,2.76,0.063,0.041,2.31
10.6,7.81,11.03,199.8,23,4.47,0.039,0.034,1.68
7.6,7.23,10.38,266.8,14.8,3.48,0.439,0.078,3.84
10.7,6.84,9.69,257.8,42.5,1.81,0.049,0.022,1.9
9.4,7.54,11.57,278,29.1,2.31,0.388,0.04,3.18
10.3,7.76,10.65,169.4,10.2,3.19,0.169,0.051,1.88
12.9,7.54,9.67,392.1,46.5,2.44,0.363,0.075,3.52
11.5,7.24,9.8,1479.1,6.6,2.56,0.618,0.028,2.56
11.2,7.08,10.12,816.8,7.1,1.71,0.327,0.005,2.66
11.9,6.59,7.94,276.1,52.4,1.86,0.705,0.144,2.5
9.6,7.76,11.28,119.7,2.6,1.81,0.025,0.006,1.23
10.4,7.81,9.9,527.2,3.1,2.45,0.36,0.019,1.47
8.5,7.64,11.46,492.6,5.9,2,0.93,0.109,5.16
11.2,7.6,8.49,457.8,4.6,1.66,0.183,0.065,3.81
12.2,7.48,9.12,311.8,9.1,1.25,0.065,0.054,2.06
8.7,7.94,6.88,553.8,29.7,1.52,0.094,0.055,3.3
9.6,6.62,11.03,259.8,39.5,2.8,0.169,0.051,2.72
9.5,7.51,9.04,131.9,61.3,1.48,0.028,0.04,1.81
13.1,8.23,9.31,404.1,21.1,1.44,0.049,0.081,2.42
13.1,8.3,9.39,388.4,38.5,1.01,0.037,0.073,1.76
13,7.69,5.41,235.2,146.9,2.82,0.121,0.035,2.43
7.7,6.98,11.49,295.9,30.3,2.18,0.141,0.028,2.64
9.6,7.33,11.33,157.4,9.7,1.77,0.102,0.029,0.9
12.5,7.39,8.05,110.6,0.6,1.51,0.025,0.005,0.49
13.1,7.33,7.59,376.7,1,0.25,0.025,0.007,0.59
5.4,7.51,11.63,127.3,107.3,4.21,0.11,0.09,4.03
9.5,7.58,9.66,510,29.1,4.4,2.206,0.246,4.67
10.3,7.47,9.92,406.8,19.1,2.95,0.191,0.035,2.27
10.7,7.88,9.61,340.8,20.7,2.96,0.287,0.069,2.34
10.5,8.32,10.23,325,4.7,4.69,0.101,0.06,1.99
12.2,7.25,7.68,362.6,13.2,2.44,0.134,0.03,1.96
11,7.36,10.44,227,7.4,2,0.17,0.062,2.55
10.3,7.2,10.45,106.3,14.8,1.54,0.26,0.027,1.51
9.7,7.73,11.06,215.2,4.6,2,0.101,0.046,1.55
15,7.67,9.03,264.4,1.2,3.19,0.032,0.044,2.58
12.1,7.29,10.18,189.8,8.3,1.33,0.113,0.063,2.08
12,7.72,9.86,186.6,10.4,2.4,0.029,0.067,2.46
12,7.51,10.3,121.1,7.3,0.48,0.047,0.038,1.37
11.2,7.48,10.43,141.5,52.5,1.29,0.079,0.015,1.14
12.8,7.91,10.46,153.9,2.4,1.92,0.031,0.012,0.76
11.9,7.71,9.85,288.8,6.3,1.77,0.048,0.015,1.11
12.2,7.38,8.33,276,12.8,1.15,0.029,0.023,3
12.1,7.47,9.12,80.4,64.2,0.65,0.28,0.064,0.73
12.2,7.17,8.83,187.9,75.9,0.83,0.039,0.044,1.15
14.9,7.77,9.12,116.9,3.1,1.75,0.025,0.031,3.12
10.7,6.68,9.35,195.4,10.5,1.74,0.066,0.056,2.32
12,7.4,10.18,255,12,1.19,0.043,0.034,1.93
14,7.12,10.26,206.4,30.3,1.97,0.088,0.033,2.06
12.6,7.84,9.84,219.4,10.3,1.89,0.1,0.038,1.43
10.3,7.38,10.61,98.1,1.5,1.93,0.054,0.031,1.29
10.6,7.11,10.83,194,3.5,2.43,0.083,0.065,2.04
10.8,7.62,10.56,205.2,4.9,1.2,0.071,0.033,1.86
10.8,7.32,9.6,230.4,4.5,2.09,0.027,0.032,1.7
10.5,7.16,11.84,265.1,37.4,2.68,0.086,0.039,1.85
10,7.84,12.31,252,2.9,2.32,0.102,0.103,2.11
9.4,7.32,10.37,291.9,8.2,4.3,0.162,0.147,2.3
8.9,6.62,8.34,180.2,14.6,1.87,1.279,0.044,3.41
9.1,7.34,10.86,380.6,16.9,3.12,0.153,0.064,2.31
11.2,7.32,9.8,99.2,5.5,0.58,0.101,0.05,1.36
9.3,7.19,10.32,119.5,14.5,1.84,0.025,0.021,1.54
8.8,7.06,9.25,151.5,4.6,2.79,0.276,0.053,2.62
8.5,7.27,11.14,138.3,12.7,1.54,0.384,0.069,1.81
8.1,7.47,10,134.7,11.8,1.55,0.025,0.026,0.62
7.2,6.53,10.55,184.8,37.4,2.58,0.137,0.037,2.61
11.9,6.65,5.12,208.9,16.1,2.02,0.025,0.025,2.7
10.4,7.55,11.12,204.6,14.7,1.18,0.025,0.042,1.99
9.8,6.98,9.9,350.2,4.7,2.24,0.102,0.027,2.37
11.9,7.36,9.93,372.3,35.6,1.69,0.262,0.032,2.61
9.3,7.4,10.92,184.3,3.3,1.38,0.096,0.036,1.59
11,7.01,9.59,262.3,25.6,2.11,0.105,0.067,3.3
9.3,6.8,10.46,252,7.1,2.35,0.354,0.09,2.5
7.7,8.28,12.07,988.6,46.6,1.8,0.06,0.043,8.19
7.2,8.13,14.84,2573.8,8.4,4.59,0.067,0.046,4.13
2.2,8.49,16.72,1009.4,285.3,2.52,0.129,0.064,3.6
4.8,8.22,20.61,760.5,8.8,2.52,0.038,0.036,5.72
4.1,8.31,11.7,612.9,4.9,1.53,0.045,0.005,6.71
3.1,8.63,14.92,1131.1,2.1,4.37,0.025,0.031,12.26
3.7,7.71,12.03,185.3,1.7,2.56,0.025,0.011,3.08
0.9,8.09,11.97,1086.5,5.4,1.48,0.045,0.025,31.77
2.8,8.16,11.99,386.7,2.3,3.48,0.234,0.017,2
4.6,8.02,14.27,2079.5,3.5,5.88,0.096,0.072,11.02
2.2,7.9,12.82,959.9,2.1,1.63,0.025,0.016,27.31
4.5,8.19,12.84,928.7,45.9,4.08,0.025,0.071,2.78
3.3,8.03,10.61,2286.3,10,4,0.227,0.098,11.09
5.5,8.37,13.62,700.4,9.8,1.84,0.258,0.158,17.62
5.2,8.17,13.25,951.3,15.4,4.57,0.047,0.027,1.55
5.3,7.72,12.52,1771.4,5.5,4.05,0.641,0.07,14.32
4.7,8.36,11.71,6838.7,7.8,8.65,0.43,0.068,2.02
4,8.69,17.35,1373.6,17.8,4.68,0.084,0.059,26.07
5.1,8.26,14.1,2944.2,38.7,4.96,0.447,0.196,11.53
5.5,7.77,14.43,1583.1,5.4,4.17,0.181,0.13,9.36
6.4,8.14,14.79,1574.1,3.4,1.78,0.176,0.048,23.68
3.5,6.82,11.71,1537.8,27.4,4.79,0.074,0.057,1.78
7.3,7.39,6.98,1507.2,7.3,2.92,0.093,0.033,0.62
4.6,8.04,10.9,1374.6,5.4,3.76,0.316,0.107,6.38
3.9,6.88,12.89,856.9,13.5,4.56,0.025,0.037,1.87
6.6,8.06,10.75,1307,8.7,4.39,0.031,0.027,1.66
5.9,7.7,10.5,1513.7,10.6,4.48,0.064,0.045,3.18
6.4,7.41,8.73,1304.3,1.7,4.23,0.061,0.04,0.91
5.2,8.45,13.73,1390.2,5.7,4.67,0.031,0.069,9.98
5.4,8.31,9.62,1594.2,3.7,5.4,0.038,0.039,0.87
3.7,8.3,12.6,1529.3,22.1,4.63,0.145,0.049,5.71
4.2,8.5,13.99,1075.5,3.4,4.48,0.025,0.027,1.36
5.6,8.09,10.22,665.4,4,3.82,0.025,0.052,2.69
4.2,8.22,8.98,2478.7,27.8,4.48,0.75,0.185,3.04
6.8,8.44,16.18,1931.5,6.5,3.7,0.03,0.141,10.06
12,7.81,7.44,2118.2,10.9,5.54,0.142,0.033,1.58
5,8.2,14.22,1670.9,2.4,3.41,0.028,0.03,14.53
2.8,8.26,15.12,1001.7,11.7,3.52,0.294,0.054,9.28
